"","GSM15785","GSM15786","GSM15787","GSM15788","GSM15789","GSM15790","GSM15791","GSM15792","GSM15794","GSM15795"
"200613_at",424.49434819478,-414.553219573017,-411.760123302484,-177.211606417278,-87.263535427142,-281.091460543919,-227.45939574122,116.694000457298,69.656405986499,-4.36835404597953
"200614_at",244.009761451294,-204.001288995016,-198.042097016144,-117.16965929188,-60.3481265799927,-71.5585047207089,-65.6018989806398,-71.5388924893131,18.3966770523821,-7.2486184600209
"200615_s_at",158.946288107727,-150.170055677507,-181.558285553848,-165.609927943041,-100.129189420896,53.0113393100554,198.683174405851,-474.576867663708,19.2560628236962,-0.514906992612569
"200616_s_at",380.789686604427,-367.288719557814,-373.296929458307,-164.219777532537,-66.0431811495446,-220.041832499129,-118.708385560244,-15.4661384508385,73.3533120390503,-14.5196631436872
"200617_at",361.49779661719,-366.780492586906,-353.768044190925,-184.063093896949,-119.083021231715,-212.091447311629,-59.1757331257893,-143.667810001706,50.2735782272545,-25.0665487528216
"200618_at",434.699429436946,-454.444954766806,-437.445548769403,-202.693114398251,-82.029879830696,-245.157948269608,-120.682119515301,-101.533058079215,66.0038191409375,-14.0369018021922
"200619_at",196.748767872691,-143.862514022373,-134.493244968527,-86.8311281414023,-83.665195365182,-24.1240074404915,12.0644444312757,-128.827230542149,35.7443212802243,21.0310292665862
"200620_at",397.297968023008,-375.870591883977,-355.454536885868,-133.53624061823,-105.82151751722,-228.433871213947,-138.465685354714,18.2243786016117,49.8383237172318,-12.9874545761291
"200621_at",341.183525908459,-291.072527188411,-314.107276468679,-183.149612299466,-102.516513084868,-61.0720194982488,71.9481010029537,-517.429237990268,39.8825971983855,15.8617572509672
"200622_x_at",226.841301608854,-174.057691269377,-191.26962556474,-143.017661917136,-91.1515566575766,-8.65768372415282,62.7656933657978,-249.223691831205,20.2187224011233,18.0898974206358
"200623_s_at",160.919664991807,-103.55655641923,-48.2368407347994,-60.2138976635996,-81.9589569129455,29.7024252513005,44.2092626639555,-85.0706196377676,56.1318843179798,9.15941338278416
"200624_s_at",497.663940016061,-509.070595339649,-471.280374723672,-178.808489163405,-67.7421785577301,-407.494692800015,-315.623396377137,219.421697383225,130.669420416187,-13.6477002626603
"200625_s_at",477.384899022735,-440.082361256361,-427.010501039088,-192.634370556011,-79.0716996013277,-300.106329361098,-182.785429969608,-30.0460339965424,65.7397110759175,-16.98472421887
"200626_s_at",275.893805286118,-266.09243250081,-262.471789625653,-145.861825803272,-105.90407409476,-140.663992509553,-26.3247136401817,-123.760945533155,77.3566568431839,-6.13747469912296
